RecordKey,CustomerName,LicenseCode,LicenseCategory,AsOfDate,PurchasedUnits,UtilizedUnits,UtilizationPercent
Kohlberg Kravis Roberts & Co. L.P.|7830-5690-9947-3154|Unattended Test Robot License|2026-07-31,Kohlberg Kravis Roberts & Co. L.P.,7830-5690-9947-3154,Unattended Test Robot License,2026-07-31,10,7,70
Kohlberg Kravis Roberts & Co. L.P.|7538-8432-4560-2869|Unattended Test Robot License|2025-10-31,Kohlberg Kravis Roberts & Co. L.P.,7538-8432-4560-2869,Unattended Test Robot License,2025-10-31,5,5,100
Kohlberg Kravis Roberts & Co. L.P.|9533-9084-6512-6733|Unattended Test Robot License|2026-07-31,Kohlberg Kravis Roberts & Co. L.P.,9533-9084-6512-6733,Unattended Test Robot License,2026-07-31,1,0,0
Kohlberg Kravis Roberts & Co. L.P.|3662-3031-5124-1081|Unattended Test Robot License|2024-10-31,Kohlberg Kravis Roberts & Co. L.P.,3662-3031-5124-1081,Unattended Test Robot License,2024-10-31,4,0,0
Kohlberg Kravis Roberts & Co. L.P.|7830-5690-9947-3154|User Licenses|2026-07-31,Kohlberg Kravis Roberts & Co. L.P.,7830-5690-9947-3154,User Licenses,2026-07-31,60,0,0
Kohlberg Kravis Roberts & Co. L.P.|7538-8432-4560-2869|User Licenses|2025-10-31,Kohlberg Kravis Roberts & Co. L.P.,7538-8432-4560-2869,User Licenses,2025-10-31,156,12,7.69
Kohlberg Kravis Roberts & Co. L.P.|386722159830059374|User Licenses|2024-10-31,Kohlberg Kravis Roberts & Co. L.P.,386722159830059374,User Licenses,2024-10-31,1,0,0
Kohlberg Kravis Roberts & Co. L.P.|4051-5204-8965-9852|User Licenses|2023-10-31,Kohlberg Kravis Roberts & Co. L.P.,4051-5204-8965-9852,User Licenses,2023-10-31,4,0,0
Kohlberg Kravis Roberts & Co. L.P.|3662-3031-5124-1081|User Licenses|2024-10-31,Kohlberg Kravis Roberts & Co. L.P.,3662-3031-5124-1081,User Licenses,2024-10-31,4,0,0
Kohlberg Kravis Roberts & Co. L.P.|6777-2443-7583-9077|User Licenses|2026-07-31,Kohlberg Kravis Roberts & Co. L.P.,6777-2443-7583-9077,User Licenses,2026-07-31,108,4,3.7
Kohlberg Kravis Roberts & Co. L.P.|7830-5690-9947-3154|AI Units|2026-08-08,Kohlberg Kravis Roberts & Co. L.P.,7830-5690-9947-3154,AI Units,2026-08-08,150000,60740,40.49
Kohlberg Kravis Roberts & Co. L.P.|7538-8432-4560-2869|Platform Units|2026-07-24,Kohlberg Kravis Roberts & Co. L.P.,7538-8432-4560-2869,Platform Units,2026-07-24,40220,1603.28,3.99
Lake Michigan Credit Union|7123-7855-6281-6715|Unattended Production License|2026-07-31,Lake Michigan Credit Union,7123-7855-6281-6715,Unattended Production License,2026-07-31,18,18,100
Lake Michigan Credit Union|7123-7855-6281-6715|Unattended Test Robot License|2026-07-31,Lake Michigan Credit Union,7123-7855-6281-6715,Unattended Test Robot License,2026-07-31,6,6,100
Lake Michigan Credit Union|6633-1167-4891-4757|User Licenses|2025-11-30,Lake Michigan Credit Union,6633-1167-4891-4757,User Licenses,2025-11-30,1,0,0
Lake Michigan Credit Union|7123-7855-6281-6715|User Licenses|2026-07-31,Lake Michigan Credit Union,7123-7855-6281-6715,User Licenses,2026-07-31,182,29,15.93
Lake Michigan Credit Union|7123-7855-6281-6715|AI Units|2026-08-07,Lake Michigan Credit Union,7123-7855-6281-6715,AI Units,2026-08-07,1300000,46638.6,3.59
Lazard|4479-7341-4237-9492|Unattended Production License|2026-07-31,Lazard,4479-7341-4237-9492,Unattended Production License,2026-07-31,25,25,100
Lazard|4479-7341-4237-9492|Unattended Test Robot License|2026-07-31,Lazard,4479-7341-4237-9492,Unattended Test Robot License,2026-07-31,30,5,16.67
Lazard|4479-7341-4237-9492|User Licenses|2026-07-31,Lazard,4479-7341-4237-9492,User Licenses,2026-07-31,406,33,8.13
Lazard|4479-7341-4237-9492|AI Units|2026-08-07,Lazard,4479-7341-4237-9492,AI Units,2026-08-07,480000,88,0.02
Liberty Mutual Holding Company Inc.|7837-4822-6724-8403|Unattended Production License|2026-07-31,Liberty Mutual Holding Company Inc.,7837-4822-6724-8403,Unattended Production License,2026-07-31,14,14,100
Liberty Mutual Holding Company Inc.|3501-6645-7674-5369|Unattended Production License|2026-07-31,Liberty Mutual Holding Company Inc.,3501-6645-7674-5369,Unattended Production License,2026-07-31,424,200,47.17
Liberty Mutual Holding Company Inc.|6932-0399-9232-8350|NonProduction Robot License|2026-01-31,Liberty Mutual Holding Company Inc.,6932-0399-9232-8350,NonProduction Robot License,2026-01-31,0,2,
Liberty Mutual Holding Company Inc.|3501-6645-7674-5369|NonProduction Robot License|2026-07-31,Liberty Mutual Holding Company Inc.,3501-6645-7674-5369,NonProduction Robot License,2026-07-31,126,0,0
Liberty Mutual Holding Company Inc.|3501-6645-7674-5369|Unattended Test Robot License|2026-07-31,Liberty Mutual Holding Company Inc.,3501-6645-7674-5369,Unattended Test Robot License,2026-07-31,122,126,103.28
Liberty Mutual Holding Company Inc.|7837-4822-6724-8403|User Licenses|2026-07-31,Liberty Mutual Holding Company Inc.,7837-4822-6724-8403,User Licenses,2026-07-31,116,10,8.62
Liberty Mutual Holding Company Inc.|6932-0399-9232-8350|User Licenses|2026-01-31,Liberty Mutual Holding Company Inc.,6932-0399-9232-8350,User Licenses,2026-01-31,0,1,
Liberty Mutual Holding Company Inc.|3501-6645-7674-5369|User Licenses|2026-07-31,Liberty Mutual Holding Company Inc.,3501-6645-7674-5369,User Licenses,2026-07-31,5082,310,6.1
Liberty Mutual Holding Company Inc.|3501-6645-7674-5369|Platform Units|2026-08-09,Liberty Mutual Holding Company Inc.,3501-6645-7674-5369,Platform Units,2026-08-09,3450000,76516.943666667,2.22
Loews Corporation|9439-9400-9456-5696|Unattended Production License|2026-07-31,Loews Corporation,9439-9400-9456-5696,Unattended Production License,2026-07-31,3,3,100
Loews Corporation|6017-6342-8085-7865|Unattended Production License|2023-05-31,Loews Corporation,6017-6342-8085-7865,Unattended Production License,2023-05-31,1,0,0
Loews Corporation|9439-9400-9456-5696|Unattended Test Robot License|2026-07-31,Loews Corporation,9439-9400-9456-5696,Unattended Test Robot License,2026-07-31,3,3,100
Loews Corporation|6017-6342-8085-7865|User Licenses|2023-05-31,Loews Corporation,6017-6342-8085-7865,User Licenses,2023-05-31,3,0,0
Loews Corporation|9439-9400-9456-5696|User Licenses|2026-07-31,Loews Corporation,9439-9400-9456-5696,User Licenses,2026-07-31,12,5,41.67
Madison Resources|4474-4630-5363-4450|Unattended Production License|2026-07-31,Madison Resources,4474-4630-5363-4450,Unattended Production License,2026-07-31,2,2,100
Madison Resources|4474-4630-5363-4450|Unattended Test Robot License|2026-07-31,Madison Resources,4474-4630-5363-4450,Unattended Test Robot License,2026-07-31,1,1,100
Madison Resources|4474-4630-5363-4450|User Licenses|2026-07-31,Madison Resources,4474-4630-5363-4450,User Licenses,2026-07-31,39,6,15.38
Madison Resources|4474-4630-5363-4450|Platform Units|2026-08-08,Madison Resources,4474-4630-5363-4450,Platform Units,2026-08-08,350000,444.304,0.13
Manulife Financial Corporation|1518-5600-0693-1533|Unattended Production License|2026-07-31,Manulife Financial Corporation,1518-5600-0693-1533,Unattended Production License,2026-07-31,5,3,60
Manulife Financial Corporation|1518-5600-0693-1533|User Licenses|2026-07-31,Manulife Financial Corporation,1518-5600-0693-1533,User Licenses,2026-07-31,36,7,19.44
Manulife Financial Corporation|8559-3932-5443-4638|User Licenses|2026-07-31,Manulife Financial Corporation,8559-3932-5443-4638,User Licenses,2026-07-31,51,20,39.22
Manulife Financial Corporation|1518-5600-0693-1533|AI Units|2026-03-27,Manulife Financial Corporation,1518-5600-0693-1533,AI Units,2026-03-27,1020000,27,0
Massachusetts Mutual Life Insurance Company|2702-1451-1423-9671|Unattended Production License|2024-06-30,Massachusetts Mutual Life Insurance Company,2702-1451-1423-9671,Unattended Production License,2024-06-30,255,0,0
Massachusetts Mutual Life Insurance Company|3205-0350-0126-2445|Unattended Production License|2024-06-30,Massachusetts Mutual Life Insurance Company,3205-0350-0126-2445,Unattended Production License,2024-06-30,10,0,0
Massachusetts Mutual Life Insurance Company|8445-8295-2601-6232|Unattended Production License|2026-07-31,Massachusetts Mutual Life Insurance Company,8445-8295-2601-6232,Unattended Production License,2026-07-31,400,400,100
Massachusetts Mutual Life Insurance Company|3692-2096-6242-3922|NonProduction Robot License|2024-10-31,Massachusetts Mutual Life Insurance Company,3692-2096-6242-3922,NonProduction Robot License,2024-10-31,0,2,
Massachusetts Mutual Life Insurance Company|0798-4786-1589-1226|NonProduction Robot License|2024-06-30,Massachusetts Mutual Life Insurance Company,0798-4786-1589-1226,NonProduction Robot License,2024-06-30,5,0,0
Massachusetts Mutual Life Insurance Company|3761-2591-1444-5243|NonProduction Robot License|2024-06-30,Massachusetts Mutual Life Insurance Company,3761-2591-1444-5243,NonProduction Robot License,2024-06-30,45,0,0
Massachusetts Mutual Life Insurance Company|5440-1528-3185-2315|NonProduction Robot License|2026-07-31,Massachusetts Mutual Life Insurance Company,5440-1528-3185-2315,NonProduction Robot License,2026-07-31,48,2,4.17
Massachusetts Mutual Life Insurance Company|0798-4786-1589-1226|Unattended Test Robot License|2024-06-30,Massachusetts Mutual Life Insurance Company,0798-4786-1589-1226,Unattended Test Robot License,2024-06-30,50,0,0
Massachusetts Mutual Life Insurance Company|5440-1528-3185-2315|Unattended Test Robot License|2026-07-31,Massachusetts Mutual Life Insurance Company,5440-1528-3185-2315,Unattended Test Robot License,2026-07-31,138,95,68.84
Massachusetts Mutual Life Insurance Company|8445-8295-2601-6232|User Licenses|2026-07-31,Massachusetts Mutual Life Insurance Company,8445-8295-2601-6232,User Licenses,2026-07-31,966,6,0.62
Massachusetts Mutual Life Insurance Company|2702-1451-1423-9671|User Licenses|2024-06-30,Massachusetts Mutual Life Insurance Company,2702-1451-1423-9671,User Licenses,2024-06-30,518,0,0
Massachusetts Mutual Life Insurance Company|3205-0350-0126-2445|User Licenses|2024-06-30,Massachusetts Mutual Life Insurance Company,3205-0350-0126-2445,User Licenses,2024-06-30,27,0,0
Massachusetts Mutual Life Insurance Company|0916-4191-8617-3787|User Licenses|2026-01-31,Massachusetts Mutual Life Insurance Company,0916-4191-8617-3787,User Licenses,2026-01-31,0,2,
Massachusetts Mutual Life Insurance Company|5440-1528-3185-2315|User Licenses|2026-07-31,Massachusetts Mutual Life Insurance Company,5440-1528-3185-2315,User Licenses,2026-07-31,821,144,17.54
Massachusetts Mutual Life Insurance Company|3761-2591-1444-5243|User Licenses|2024-06-30,Massachusetts Mutual Life Insurance Company,3761-2591-1444-5243,User Licenses,2024-06-30,75,0,0
Massachusetts Mutual Life Insurance Company|0798-4786-1589-1226|User Licenses|2024-06-30,Massachusetts Mutual Life Insurance Company,0798-4786-1589-1226,User Licenses,2024-06-30,36,0,0
Massachusetts Mutual Life Insurance Company|3205-0350-0126-2445|AI Units|2024-06-30,Massachusetts Mutual Life Insurance Company,3205-0350-0126-2445,AI Units,2024-06-30,60000,0,0
Massachusetts Mutual Life Insurance Company|8445-8295-2601-6232|AI Units|2026-08-07,Massachusetts Mutual Life Insurance Company,8445-8295-2601-6232,AI Units,2026-08-07,720000,117385,16.3
Massachusetts Mutual Life Insurance Company|5440-1528-3185-2315|AI Units|2026-08-07,Massachusetts Mutual Life Insurance Company,5440-1528-3185-2315,AI Units,2026-08-07,120000,18060.5,15.05
Midland Financial Co.|3698-2323-4496-8077|Unattended Production License|2024-12-31,Midland Financial Co.,3698-2323-4496-8077,Unattended Production License,2024-12-31,25,0,0
Midland Financial Co.|7886-9040-1665-1792|Unattended Production License|2026-07-31,Midland Financial Co.,7886-9040-1665-1792,Unattended Production License,2026-07-31,26,25,96.15
Midland Financial Co.|3149-0822-9342-0265|Unattended Production License|2026-07-31,Midland Financial Co.,3149-0822-9342-0265,Unattended Production License,2026-07-31,0,1,
Midland Financial Co.|7207-7266-3193-4939|Unattended Production License|2026-07-31,Midland Financial Co.,7207-7266-3193-4939,Unattended Production License,2026-07-31,0,1,
Midland Financial Co.|7886-9040-1665-1792|Unattended Test Robot License|2026-07-31,Midland Financial Co.,7886-9040-1665-1792,Unattended Test Robot License,2026-07-31,10,10,100
Midland Financial Co.|4550-8446-1204-9363|Unattended Test Robot License|2024-12-31,Midland Financial Co.,4550-8446-1204-9363,Unattended Test Robot License,2024-12-31,10,0,0
Midland Financial Co.|3698-2323-4496-8077|User Licenses|2024-12-31,Midland Financial Co.,3698-2323-4496-8077,User Licenses,2024-12-31,10,0,0
Midland Financial Co.|4550-8446-1204-9363|User Licenses|2024-12-31,Midland Financial Co.,4550-8446-1204-9363,User Licenses,2024-12-31,1,0,0
Midland Financial Co.|3664-3526-9156-5178|User Licenses|2024-12-31,Midland Financial Co.,3664-3526-9156-5178,User Licenses,2024-12-31,19,0,0
Midland Financial Co.|7886-9040-1665-1792|User Licenses|2026-07-31,Midland Financial Co.,7886-9040-1665-1792,User Licenses,2026-07-31,100,22,22
Midland Financial Co.|7886-9040-1665-1792|Platform Units|2026-08-07,Midland Financial Co.,7886-9040-1665-1792,Platform Units,2026-08-07,24350,9151.8,37.58
Midland States Bank|1551-2157-0593-2934|Unattended Production License|2026-07-31,Midland States Bank,1551-2157-0593-2934,Unattended Production License,2026-07-31,7,7,100
Midland States Bank|1551-2157-0593-2934|Unattended Test Robot License|2026-07-31,Midland States Bank,1551-2157-0593-2934,Unattended Test Robot License,2026-07-31,3,0,0
Midland States Bank|1551-2157-0593-2934|User Licenses|2026-07-31,Midland States Bank,1551-2157-0593-2934,User Licenses,2026-07-31,163,45,27.61
Midland States Bank|1551-2157-0593-2934|AI Units|2026-08-07,Midland States Bank,1551-2157-0593-2934,AI Units,2026-08-07,120000,7701.8,6.42
"Midwestone Financial Group, Inc.|6743-9105-8024-2735|Unattended Production License|2026-07-31","Midwestone Financial Group, Inc.",6743-9105-8024-2735,Unattended Production License,2026-07-31,5,5,100
"Midwestone Financial Group, Inc.|6743-9105-8024-2735|Unattended Test Robot License|2026-07-31","Midwestone Financial Group, Inc.",6743-9105-8024-2735,Unattended Test Robot License,2026-07-31,4,4,100
"Midwestone Financial Group, Inc.|6743-9105-8024-2735|User Licenses|2026-07-31","Midwestone Financial Group, Inc.",6743-9105-8024-2735,User Licenses,2026-07-31,127,6,4.72
"Minnesota Mutual Companies, Inc.|386782465858217025|Unattended Production License|2026-07-31","Minnesota Mutual Companies, Inc.",386782465858217025,Unattended Production License,2026-07-31,70,0,0
"Minnesota Mutual Companies, Inc.|5982-8308-5034-5454|Unattended Production License|2026-07-31","Minnesota Mutual Companies, Inc.",5982-8308-5034-5454,Unattended Production License,2026-07-31,0,5,
"Minnesota Mutual Companies, Inc.|5198-6601-6390-8269|Unattended Production License|2026-07-31","Minnesota Mutual Companies, Inc.",5198-6601-6390-8269,Unattended Production License,2026-07-31,24,24,100
"Minnesota Mutual Companies, Inc.|3213-3028-1930-6784|Unattended Production License|2025-02-28","Minnesota Mutual Companies, Inc.",3213-3028-1930-6784,Unattended Production License,2025-02-28,1,0,0
"Minnesota Mutual Companies, Inc.|0409-0042-8241-1007|Unattended Production License|2026-07-31","Minnesota Mutual Companies, Inc.",0409-0042-8241-1007,Unattended Production License,2026-07-31,8,8,100
"Minnesota Mutual Companies, Inc.|5982-8308-5034-5454|NonProduction Robot License|2026-07-31","Minnesota Mutual Companies, Inc.",5982-8308-5034-5454,NonProduction Robot License,2026-07-31,0,5,
"Minnesota Mutual Companies, Inc.|0409-0042-8241-1007|NonProduction Robot License|2026-07-31","Minnesota Mutual Companies, Inc.",0409-0042-8241-1007,NonProduction Robot License,2026-07-31,1,1,100
"Minnesota Mutual Companies, Inc.|3213-3028-1930-6784|Unattended Test Robot License|2025-02-28","Minnesota Mutual Companies, Inc.",3213-3028-1930-6784,Unattended Test Robot License,2025-02-28,1,0,0
"Minnesota Mutual Companies, Inc.|5198-6601-6390-8269|Unattended Test Robot License|2026-07-31","Minnesota Mutual Companies, Inc.",5198-6601-6390-8269,Unattended Test Robot License,2026-07-31,4,4,100
"Minnesota Mutual Companies, Inc.|0409-0042-8241-1007|Unattended Test Robot License|2026-07-31","Minnesota Mutual Companies, Inc.",0409-0042-8241-1007,Unattended Test Robot License,2026-07-31,2,2,100
"Minnesota Mutual Companies, Inc.|386796189881543684|Unattended Test Robot License|2026-07-31","Minnesota Mutual Companies, Inc.",386796189881543684,Unattended Test Robot License,2026-07-31,3,0,0
"Minnesota Mutual Companies, Inc.|386796189881543684|User Licenses|2026-07-31","Minnesota Mutual Companies, Inc.",386796189881543684,User Licenses,2026-07-31,10,0,0
"Minnesota Mutual Companies, Inc.|6115-4032-6514-9626|User Licenses|2025-01-31","Minnesota Mutual Companies, Inc.",6115-4032-6514-9626,User Licenses,2025-01-31,0,1,
"Minnesota Mutual Companies, Inc.|0409-0042-8241-1007|User Licenses|2026-07-31","Minnesota Mutual Companies, Inc.",0409-0042-8241-1007,User Licenses,2026-07-31,128,0,0
"Minnesota Mutual Companies, Inc.|3213-3028-1930-6784|User Licenses|2025-02-28","Minnesota Mutual Companies, Inc.",3213-3028-1930-6784,User Licenses,2025-02-28,11,0,0
"Minnesota Mutual Companies, Inc.|5198-6601-6390-8269|User Licenses|2026-07-31","Minnesota Mutual Companies, Inc.",5198-6601-6390-8269,User Licenses,2026-07-31,187,53,28.34
"Minnesota Mutual Companies, Inc.|5198-6601-6390-8269|AI Units|2026-08-07","Minnesota Mutual Companies, Inc.",5198-6601-6390-8269,AI Units,2026-08-07,1000000,102453.4,10.25
"Minnesota Mutual Companies, Inc.|3213-3028-1930-6784|AI Units|2025-02-28","Minnesota Mutual Companies, Inc.",3213-3028-1930-6784,AI Units,2025-02-28,1,0,0
Mutual Bancorp|9821-5537-1971-7766|Unattended Production License|2026-07-31,Mutual Bancorp,9821-5537-1971-7766,Unattended Production License,2026-07-31,14,7,50
Mutual Bancorp|9821-5537-1971-7766|Unattended Test Robot License|2026-07-31,Mutual Bancorp,9821-5537-1971-7766,Unattended Test Robot License,2026-07-31,2,1,50
Mutual Bancorp|9821-5537-1971-7766|User Licenses|2026-07-31,Mutual Bancorp,9821-5537-1971-7766,User Licenses,2026-07-31,145,5,3.45
NASA Federal Credit Union|0182-1806-8338-5147|Unattended Production License|2026-07-31,NASA Federal Credit Union,0182-1806-8338-5147,Unattended Production License,2026-07-31,4,3,75
NASA Federal Credit Union|7863-8709-1641-0982|Unattended Production License|2026-07-31,NASA Federal Credit Union,7863-8709-1641-0982,Unattended Production License,2026-07-31,1,0,0
NASA Federal Credit Union|0182-1806-8338-5147|Unattended Test Robot License|2026-07-31,NASA Federal Credit Union,0182-1806-8338-5147,Unattended Test Robot License,2026-07-31,3,3,100
NASA Federal Credit Union|7863-8709-1641-0982|Unattended Test Robot License|2026-07-31,NASA Federal Credit Union,7863-8709-1641-0982,Unattended Test Robot License,2026-07-31,1,0,0
NASA Federal Credit Union|0182-1806-8338-5147|User Licenses|2026-07-31,NASA Federal Credit Union,0182-1806-8338-5147,User Licenses,2026-07-31,191,15,7.85
NASA Federal Credit Union|0182-1806-8338-5147|AI Units|2026-08-08,NASA Federal Credit Union,0182-1806-8338-5147,AI Units,2026-08-08,224658,3791,1.69
"Nicolet Bankshares, Inc.|0630-9972-8401-3962|Unattended Production License|2026-07-31","Nicolet Bankshares, Inc.",0630-9972-8401-3962,Unattended Production License,2026-07-31,7,7,100
"Nicolet Bankshares, Inc.|4592-6464-8342-3884|Unattended Production License|2026-07-31","Nicolet Bankshares, Inc.",4592-6464-8342-3884,Unattended Production License,2026-07-31,0,1,
"Nicolet Bankshares, Inc.|0630-9972-8401-3962|Unattended Test Robot License|2026-07-31","Nicolet Bankshares, Inc.",0630-9972-8401-3962,Unattended Test Robot License,2026-07-31,5,5,100
"Nicolet Bankshares, Inc.|0630-9972-8401-3962|User Licenses|2026-07-31","Nicolet Bankshares, Inc.",0630-9972-8401-3962,User Licenses,2026-07-31,47,9,19.15
"Nicolet Bankshares, Inc.|4592-6464-8342-3884|User Licenses|2026-07-31","Nicolet Bankshares, Inc.",4592-6464-8342-3884,User Licenses,2026-07-31,0,2,
Nusenda Federal Credit Union|5406-2016-5989-1274|Unattended Production License|2026-07-31,Nusenda Federal Credit Union,5406-2016-5989-1274,Unattended Production License,2026-07-31,8,4,50
Nusenda Federal Credit Union|5406-2016-5989-1274|Unattended Test Robot License|2026-07-31,Nusenda Federal Credit Union,5406-2016-5989-1274,Unattended Test Robot License,2026-07-31,4,1,25
Nusenda Federal Credit Union|5406-2016-5989-1274|User Licenses|2026-07-31,Nusenda Federal Credit Union,5406-2016-5989-1274,User Licenses,2026-07-31,38,11,28.95
Nusenda Federal Credit Union|5406-2016-5989-1274|AI Units|2026-08-04,Nusenda Federal Credit Union,5406-2016-5989-1274,AI Units,2026-08-04,220000,53,0.02
Nuvision Financial Federal Credit Union|3036-1036-7914-5126|Unattended Production License|2026-07-31,Nuvision Financial Federal Credit Union,3036-1036-7914-5126,Unattended Production License,2026-07-31,1,0,0
Nuvision Financial Federal Credit Union|6936-5531-5652-0082|Unattended Production License|2026-07-31,Nuvision Financial Federal Credit Union,6936-5531-5652-0082,Unattended Production License,2026-07-31,5,0,0
Nuvision Financial Federal Credit Union|3036-1036-7914-5126|Unattended Test Robot License|2026-07-31,Nuvision Financial Federal Credit Union,3036-1036-7914-5126,Unattended Test Robot License,2026-07-31,1,1,100
Nuvision Financial Federal Credit Union|6936-5531-5652-0082|User Licenses|2026-07-31,Nuvision Financial Federal Credit Union,6936-5531-5652-0082,User Licenses,2026-07-31,2,0,0
Nuvision Financial Federal Credit Union|3036-1036-7914-5126|User Licenses|2026-07-31,Nuvision Financial Federal Credit Union,3036-1036-7914-5126,User Licenses,2026-07-31,11,0,0
Ocean Bank|8897-6532-0989-1347|Unattended Production License|2026-07-31,Ocean Bank,8897-6532-0989-1347,Unattended Production License,2026-07-31,3,3,100
Ocean Bank|8897-6532-0989-1347|Unattended Test Robot License|2026-07-31,Ocean Bank,8897-6532-0989-1347,Unattended Test Robot License,2026-07-31,1,1,100
Ocean Bank|8897-6532-0989-1347|User Licenses|2026-07-31,Ocean Bank,8897-6532-0989-1347,User Licenses,2026-07-31,25,0,0
Old National Bancorp|7236-8417-8830-4944|Unattended Production License|2026-07-31,Old National Bancorp,7236-8417-8830-4944,Unattended Production License,2026-07-31,20,20,100
Old National Bancorp|9010-8635-4494-7907|Unattended Production License|2025-02-28,Old National Bancorp,9010-8635-4494-7907,Unattended Production License,2025-02-28,0,1,
Old National Bancorp|4973-9944-1001-5746|Unattended Production License|2025-01-31,Old National Bancorp,4973-9944-1001-5746,Unattended Production License,2025-01-31,10,0,0
Old National Bancorp|1637-0432-9804-8204|Unattended Production License|2023-05-31,Old National Bancorp,1637-0432-9804-8204,Unattended Production License,2023-05-31,2,0,0
Old National Bancorp|4344-5769-0472-4697|Unattended Production License|2023-04-30,Old National Bancorp,4344-5769-0472-4697,Unattended Production License,2023-04-30,10,0,0
Old National Bancorp|7236-8417-8830-4944|Unattended Test Robot License|2026-07-31,Old National Bancorp,7236-8417-8830-4944,Unattended Test Robot License,2026-07-31,8,8,100
Old National Bancorp|4973-9944-1001-5746|Unattended Test Robot License|2025-01-31,Old National Bancorp,4973-9944-1001-5746,Unattended Test Robot License,2025-01-31,4,0,0
Old National Bancorp|4344-5769-0472-4697|Unattended Test Robot License|2023-04-30,Old National Bancorp,4344-5769-0472-4697,Unattended Test Robot License,2023-04-30,4,0,0
Old National Bancorp|9010-8635-4494-7907|User Licenses|2024-11-30,Old National Bancorp,9010-8635-4494-7907,User Licenses,2024-11-30,0,1,
Old National Bancorp|4973-9944-1001-5746|User Licenses|2025-01-31,Old National Bancorp,4973-9944-1001-5746,User Licenses,2025-01-31,147,0,0
Old National Bancorp|1637-0432-9804-8204|User Licenses|2023-05-31,Old National Bancorp,1637-0432-9804-8204,User Licenses,2023-05-31,10,0,0
Old National Bancorp|7236-8417-8830-4944|User Licenses|2026-07-31,Old National Bancorp,7236-8417-8830-4944,User Licenses,2026-07-31,167,15,8.98
Old National Bancorp|4344-5769-0472-4697|User Licenses|2023-04-30,Old National Bancorp,4344-5769-0472-4697,User Licenses,2023-04-30,127,0,0
Old National Bancorp|4973-9944-1001-5746|AI Units|2025-01-31,Old National Bancorp,4973-9944-1001-5746,AI Units,2025-01-31,1,0,0
Old National Bancorp|7236-8417-8830-4944|Platform Units|2026-08-07,Old National Bancorp,7236-8417-8830-4944,Platform Units,2026-08-07,57543,20192.16,35.09
Old Republic International|1934-8742-8883-7147|Unattended Production License|2026-07-31,Old Republic International,1934-8742-8883-7147,Unattended Production License,2026-07-31,6,5,83.33
Old Republic International|6541-0165-4769-5195|Unattended Production License|2026-05-31,Old Republic International,6541-0165-4769-5195,Unattended Production License,2026-05-31,5,0,0
Old Republic International|4565-3134-7292-0050|Unattended Production License|2026-07-31,Old Republic International,4565-3134-7292-0050,Unattended Production License,2026-07-31,17,17,100
Old Republic International|8538-3773-2423-4724|NonProduction Robot License|2026-05-31,Old Republic International,8538-3773-2423-4724,NonProduction Robot License,2026-05-31,5,0,0
Old Republic International|1934-8742-8883-7147|Unattended Test Robot License|2026-07-31,Old Republic International,1934-8742-8883-7147,Unattended Test Robot License,2026-07-31,3,3,100
Old Republic International|4565-3134-7292-0050|Unattended Test Robot License|2026-07-31,Old Republic International,4565-3134-7292-0050,Unattended Test Robot License,2026-07-31,11,11,100
Old Republic International|8538-3773-2423-4724|User Licenses|2026-05-31,Old Republic International,8538-3773-2423-4724,User Licenses,2026-05-31,6,0,0
Old Republic International|1934-8742-8883-7147|User Licenses|2026-07-31,Old Republic International,1934-8742-8883-7147,User Licenses,2026-07-31,50,4,8
Old Republic International|6541-0165-4769-5195|User Licenses|2026-05-31,Old Republic International,6541-0165-4769-5195,User Licenses,2026-05-31,5,0,0
Old Republic International|4565-3134-7292-0050|User Licenses|2026-07-31,Old Republic International,4565-3134-7292-0050,User Licenses,2026-07-31,42,13,30.95
Old Republic International|1934-8742-8883-7147|Platform Units|2026-07-31,Old Republic International,1934-8742-8883-7147,Platform Units,2026-07-31,10000,0,0
Ontario Municipal Employees Retirement System (OMERS)|2175-0400-4354-9613|Unattended Production License|2026-07-31,Ontario Municipal Employees Retirement System (OMERS),2175-0400-4354-9613,Unattended Production License,2026-07-31,30,30,100
Ontario Municipal Employees Retirement System (OMERS)|6066-8272-3658-4995|Unattended Production License|2023-03-31,Ontario Municipal Employees Retirement System (OMERS),6066-8272-3658-4995,Unattended Production License,2023-03-31,6,0,0
Ontario Municipal Employees Retirement System (OMERS)|6559-9425-0553-9805|Unattended Production License|2026-07-31,Ontario Municipal Employees Retirement System (OMERS),6559-9425-0553-9805,Unattended Production License,2026-07-31,0,5,
Ontario Municipal Employees Retirement System (OMERS)|4181-6479-1775-1904|Unattended Production License|2025-06-30,Ontario Municipal Employees Retirement System (OMERS),4181-6479-1775-1904,Unattended Production License,2025-06-30,0,2,
Ontario Municipal Employees Retirement System (OMERS)|9003-2963-2281-8199|Unattended Production License|2025-02-28,Ontario Municipal Employees Retirement System (OMERS),9003-2963-2281-8199,Unattended Production License,2025-02-28,1,0,0
Ontario Municipal Employees Retirement System (OMERS)|6670-6575-1979-5840|Unattended Production License|2026-07-31,Ontario Municipal Employees Retirement System (OMERS),6670-6575-1979-5840,Unattended Production License,2026-07-31,15,33,220
Ontario Municipal Employees Retirement System (OMERS)|6559-9425-0553-9805|NonProduction Robot License|2026-07-31,Ontario Municipal Employees Retirement System (OMERS),6559-9425-0553-9805,NonProduction Robot License,2026-07-31,0,5,
